# Database: DFSIVP37
# Query: SELECT * FROM PHONEAP.PHONEBOOK ORDER BY LASTNAME
# Timestamp: Mon Sep 21 11:21:57 CDT 2026
# User: IBMUSER

LASTNAME,FIRSTNAME,EXTENSION,ZIPCODE
Anderson,James,4501,10001
Garcia,Emily,4504,10004
LAST1,FIRST1,8-111-1111,D01/R01
LAST2,FIRST2,8-111-2222,D02/R02
LAST3,FIRST3,8-111-3333,D03/R03
LAST4,FIRST4,8-111-4444,D04/R04
LAST5,FIRST5,8-111-5555,D05/R05
Martinez,Sofia,4502,10002
Nakamura,Yuki,4601,94105
Okonkwo,Emeka,4602,10036
Petrov,Alexei,4603,60611
Sullivan,Bridget,4604,02101
Thompson,David,4503,10003
Thornton,Marcus,3821,60601
Vasquez,Carmen,4605,77001
Wilson,Michael,4505,10005
